Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF5;0808216-32.2021.4.05.8300;2024;{12496};{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL};;
TRF5;0800879-82.2023.4.05.8312;2024;{12496};{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DO CABO DE SANTO AGOSTINHO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO};;
TRF5;0800129-53.2024.4.05.0000;2024;{12496,9196};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800551-79.2023.4.05.8401;2024;{12496,11884};{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE MOSSORO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO};;
TRF5;0800027-98.2022.4.05.8504;2024;{12496};;;{ADVOCACIA GERAL DA UNIAO,ESTADO DE SERGIPE,ESTADO DE SERGIPE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0800102-36.2025.4.05.0000;2025;{12513,12495};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};;
TRF5;0819410-76.2023.4.05.8100;2024;{12494};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0805621-55.2024.4.05.8300;2024;{12495};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL}
TRF5;0805901-60.2023.4.05.8300;2024;{12503};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL}
TRF5;0807253-78.2022.4.05.8400;2024;{11884,12495};;;{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE NATAL,ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO,ESTADO OU DISTRITO FEDERAL}
